ID,G3E_FID,CD_SSDW,DEVICE_TYPE,CD_SSXL,NODE1_ID,NODE2_ID
12169,11746536,望牛墩供电分局,站房电缆头,万江F18望牛墩线,11531095,11598885
12170,11746547,望牛墩供电分局,站房电缆头,万江F18望牛墩线,11598891,11598892
1765,11996940,望牛墩供电分局,变压器,万江F18望牛墩线,8979257,0
12162,11757836,望牛墩供电分局,站房母线,万江F18望牛墩线,11598887,11598887
12688,33689595,望牛墩供电分局,站房引线,万江F18望牛墩线,11652735,11652746
12690,33689606,望牛墩供电分局,站房引线,万江F18望牛墩线,11652735,11652769
12689,33689579,望牛墩供电分局,站房母线,万江F18望牛墩线,11652716,11652716
12166,11745803,望牛墩供电分局,10kV开关,万江F18望牛墩线,11598890,11598891
12687,33689594,望牛墩供电分局,站房引线,万江F18望牛墩线,11652735,0
12165,16483158,望牛墩供电分局,站房引线,万江F18望牛墩线,11598887,11695200
12163,16483156,望牛墩供电分局,站房引线,万江F18望牛墩线,11598886,11598887
12164,16483157,望牛墩供电分局,站房引线,万江F18望牛墩线,11598887,11598890
